Date,Open,High,Low,Close
9/17/2018,107520,107560,107520,107550
9/17/2018,107570,107650,107560,107600
9/17/2018,107640,107670,107640,107670
9/17/2018,107650,107650,107600,107600
9/17/2018,107610,107610,107610,107610
9/17/2018,107620,107630,107620,107630
9/17/2018,107650,107650,107600,107610
9/17/2018,107620,107640,107620,107640
9/17/2018,107650,107660,107620,107620
9/17/2018,107620,107620,107620,107620
9/17/2018,107640,107650,107640,107650
9/17/2018,107620,107630,107620,107630
9/17/2018,107620,107620,107580,107610
9/17/2018,107560,107560,107550,107550
9/17/2018,107580,107580,107560,107560
9/17/2018,107600,107600,107520,107520
9/17/2018,107520,107570,107520,107530
9/17/2018,107530,107580,107530,107530
9/17/2018,107550,107640,107550,107640
9/17/2018,107640,107770,107620,107770
9/17/2018,107760,107810,107730,107750
9/17/2018,107740,107750,107670,107680
9/17/2018,107680,107690,107660,107690
9/17/2018,107650,107660,107650,107660
9/17/2018,107690,107780,107690,107770
9/17/2018,107800,107820,107720,107740
9/17/2018,107750,107790,107730,107760
9/17/2018,107740,107740,107700,107720
9/17/2018,107730,107800,107720,107730
9/17/2018,107720,107760,107720,107760
9/17/2018,107750,107770,107700,107770
9/17/2018,107780,107780,107710,107710
9/17/2018,107710,107710,107660,107660
9/17/2018,107670,107730,107670,107730
9/17/2018,107750,107810,107740,107810
9/17/2018,107810,107830,107810,107810
9/17/2018,107830,107880,107830,107880
9/17/2018,107890,108020,107890,108000
9/17/2018,108000,108040,107990,108020
9/17/2018,108030,108080,107960,107970
9/17/2018,107970,107980,107940,107960
9/17/2018,107950,107960,107940,107960
9/17/2018,107960,108070,107960,108070
9/17/2018,108050,108060,108050,108060
9/17/2018,108060,108060,108030,108050
9/17/2018,108040,108060,108040,108050
9/17/2018,108030,108040,108020,108040
9/17/2018,108010,108150,108010,108150
9/17/2018,108100,108140,108090,108090
9/17/2018,108070,108120,108060,108090
9/17/2018,108080,108080,108030,108060
9/17/2018,108040,108050,108030,108030
9/17/2018,108060,108080,108060,108080
9/17/2018,108050,108050,108020,108020
9/17/2018,108010,108020,108000,108000
